"Date","Price","Open","High","Low","Vol.","Change %"
"11/20/2024","10,880.0","10,710.0","10,892.0","10,685.0","140.97K","1.40%"
"11/19/2024","10,730.0","10,740.0","10,815.0","10,695.0","757.24K","0.19%"
"11/18/2024","10,710.0","10,640.0","10,715.0","10,550.0","3.64M","0.66%"
"11/15/2024","10,640.0","10,630.0","10,650.0","10,550.0","640.47K","0.00%"
"11/14/2024","10,640.0","10,685.0","10,715.0","10,600.0","650.09K","-0.19%"
"11/13/2024","10,660.0","10,535.0","10,660.0","10,485.0","908.06K","0.61%"
"11/12/2024","10,595.0","10,795.0","10,795.0","10,550.0","816.42K","-1.99%"
"11/11/2024","10,810.0","10,760.0","10,835.0","10,710.0","399.45K","0.60%"
"11/08/2024","10,745.0","10,785.0","10,820.0","10,690.0","663.65K","-0.19%"
"11/07/2024","10,765.0","10,880.0","10,915.0","10,755.0","1.05M","-0.97%"
"11/06/2024","10,870.0","10,985.0","11,065.0","10,785.0","1.41M","-0.09%"
"11/05/2024","10,880.0","10,810.0","10,935.0","10,745.0","1.31M","0.65%"
"11/04/2024","10,810.0","10,740.0","10,885.0","10,740.0","798.96K","0.56%"
"11/01/2024","10,750.0","10,530.0","10,765.0","10,480.0","822.62K","2.23%"
"10/31/2024","10,515.0","10,480.0","10,535.0","10,405.0","1.57M","-0.28%"
"10/30/2024","10,545.0","10,545.0","10,605.0","10,490.0","428.19K","-0.52%"
"10/29/2024","10,600.0","10,745.0","10,760.0","10,580.0","1.08M","-1.03%"
"10/28/2024","10,710.0","10,615.0","10,735.0","10,605.0","820.71K","0.99%"
"10/25/2024","10,605.0","10,640.0","10,695.0","10,600.0","967.23K","-0.47%"
"10/24/2024","10,655.0","10,425.0","10,830.0","10,420.0","955.70K","2.60%"
"10/23/2024","10,385.0","10,465.0","10,505.0","10,380.0","900.98K","-1.28%"
"10/22/2024","10,520.0","10,585.0","10,600.0","10,440.0","554.99K","-0.89%"
"10/21/2024","10,615.0","10,560.0","10,670.0","10,560.0","1.16M","0.76%"
"10/18/2024","10,535.0","10,410.0","10,535.0","10,365.0","971.14K","0.43%"
"10/17/2024","10,490.0","10,350.0","10,520.0","10,340.0","1.22M","1.65%"
"10/16/2024","10,320.0","10,280.0","10,370.0","10,280.0","1.26M","0.63%"
"10/15/2024","10,255.0","10,230.0","10,310.0","10,215.0","1.48M","0.84%"
"10/14/2024","10,170.0","10,120.0","10,170.0","10,065.0","415.55K","0.49%"
"10/11/2024","10,120.0","10,130.0","10,155.0","10,085.0","533.56K","0.20%"
"10/10/2024","10,100.0","10,165.0","10,230.0","10,100.0","950.28K","-0.83%"
"10/09/2024","10,185.0","10,220.0","10,260.0","10,120.0","530.92K","0.15%"
"10/08/2024","10,170.0","10,165.0","10,210.0","10,105.0","1.44M","0.44%"
"10/07/2024","10,125.0","10,275.0","10,285.0","10,100.0","554.00K","-1.07%"
"10/04/2024","10,235.0","10,320.0","10,335.0","10,195.0","625.29K","-1.35%"
"10/03/2024","10,375.0","10,360.0","10,420.0","10,325.0","951.55K","0.29%"
"10/02/2024","10,345.0","10,345.0","10,350.0","10,255.0","504.82K","0.29%"
"10/01/2024","10,315.0","10,190.0","10,360.0","10,190.0","1.24M","0.93%"
"09/30/2024","10,220.0","10,235.0","10,295.0","10,200.0","2.49M","-0.44%"
"09/27/2024","10,265.0","10,235.0","10,300.0","10,220.0","1.01M","0.05%"
"09/26/2024","10,260.0","10,420.0","10,445.0","10,220.0","1.37M","-1.16%"
"09/25/2024","10,380.0","10,185.0","10,400.0","10,170.0","739.64K","1.42%"
"09/24/2024","10,235.0","10,360.0","10,380.0","10,145.0","724.01K","-1.16%"
"09/23/2024","10,355.0","10,275.0","10,380.0","10,245.0","531.22K","0.39%"
"09/20/2024","10,315.0","10,260.0","10,380.0","10,225.0","2.12M","-0.05%"
"09/19/2024","10,320.0","10,440.0","10,475.0","10,265.0","1.91M","-0.58%"
"09/18/2024","10,380.0","10,435.0","10,460.0","10,315.0","600.43K","-0.48%"
"09/17/2024","10,430.0","10,565.0","10,595.0","10,410.0","486.36K","-0.67%"
"09/16/2024","10,500.0","10,485.0","10,510.0","10,415.0","","0.19%"
"09/13/2024","10,480.0","10,490.0","10,525.0","10,440.0","476.29K","0.10%"
"09/12/2024","10,470.0","10,555.0","10,585.0","10,445.0","1.60M","0.92%"
"09/11/2024","10,375.0","10,400.0","10,425.0","10,325.0","647.81K","0.00%"
"09/10/2024","10,375.0","10,340.0","10,380.0","10,300.0","1.61M","0.00%"
"09/09/2024","10,375.0","10,220.0","10,375.0","10,220.0","486.63K","1.92%"
"09/06/2024","10,180.0","10,060.0","10,265.0","10,060.0","565.27K","0.84%"
"09/05/2024","10,095.0","10,120.0","10,190.0","10,040.0","1.48M","-0.44%"
"09/04/2024","10,140.0","10,055.0","10,160.0","10,040.0","744.39K","-0.20%"
"09/03/2024","10,160.0","10,180.0","10,205.0","10,125.0","1.04M","0.05%"
"09/02/2024","10,155.0","10,225.0","10,245.0","10,095.0","342.60K","-0.93%"
"08/30/2024","10,250.0","10,245.0","10,285.0","10,210.0","4.08M","0.20%"
"08/29/2024","10,230.0","10,215.0","10,260.0","10,200.0","1.64M","0.10%"
"08/28/2024","10,220.0","10,175.0","10,240.0","10,165.0","489.86K","0.84%"
"08/27/2024","10,135.0","10,105.0","10,160.0","10,030.0","769.39K","1.25%"
"08/23/2024","10,010.0","10,050.0","10,075.0","10,010.0","699.94K","0.00%"
"08/22/2024","10,010.0","9,984.0","10,050.0","9,984.0","843.80K","0.44%"
"08/21/2024","9,966.0","9,954.0","9,978.0","9,920.0","1.05M","0.18%"
"08/20/2024","9,948.0","9,972.0","10,020.0","9,898.0","1.48M","-0.28%"
"08/19/2024","9,976.0","9,958.0","10,025.0","9,928.0","720.95K","0.06%"
"08/16/2024","9,970.0","9,948.0","9,970.0","9,902.0","551.07K","0.06%"
"08/15/2024","9,964.0","9,996.0","9,998.0","9,938.0","839.73K","-0.28%"
"08/14/2024","9,992.0","10,020.0","10,030.0","9,938.0","484.46K","0.20%"
"08/13/2024","9,972.0","10,000.0","10,050.0","9,904.0","591.54K","0.34%"
"08/12/2024","9,938.0","9,886.0","9,946.0","9,868.0","852.06K","1.12%"
"08/09/2024","9,828.0","9,760.0","9,866.0","9,706.0","541.59K","0.76%"
"08/08/2024","9,754.0","9,658.0","9,762.0","9,632.0","646.81K","0.68%"
"08/07/2024","9,688.0","9,544.0","9,706.0","9,482.0","847.66K","1.81%"
"08/06/2024","9,516.0","9,584.0","9,588.0","9,490.0","1.39M","-0.75%"
"08/05/2024","9,588.0","9,674.0","9,692.0","9,506.0","3.95M","-1.56%"
"08/02/2024","9,740.0","9,820.0","9,830.0","9,698.0","2.09M","-1.14%"
"08/01/2024","9,852.0","9,626.0","9,976.0","9,596.0","1.76M","4.03%"
"07/31/2024","9,470.0","9,516.0","9,540.0","9,424.0","2.19M","0.02%"
"07/30/2024","9,468.0","9,470.0","9,518.0","9,432.0","978.57K","0.00%"
"07/29/2024","9,468.0","9,518.0","9,580.0","9,468.0","428.07K","-0.11%"
"07/26/2024","9,478.0","9,372.0","9,516.0","9,358.0","659.16K","1.11%"
"07/25/2024","9,374.0","9,366.0","9,454.0","9,312.0","2.30M","-0.66%"
"07/24/2024","9,436.0","9,400.0","9,448.0","9,354.0","539.98K","-0.19%"
"07/23/2024","9,454.0","9,412.0","9,520.0","9,404.0","602.84K","0.19%"
"07/22/2024","9,436.0","9,438.0","9,492.0","9,412.0","501.70K","0.15%"
"07/19/2024","9,422.0","9,432.0","9,502.0","9,346.0","1.42M","-0.51%"
"07/18/2024","9,470.0","9,346.0","9,518.0","9,346.0","706.72K","0.70%"
"07/17/2024","9,404.0","9,450.0","9,460.0","9,394.0","674.29K","-0.47%"
"07/16/2024","9,448.0","9,476.0","9,560.0","9,412.0","776.40K","-0.36%"
"07/15/2024","9,482.0","9,392.0","9,486.0","9,346.0","1.29M","0.57%"
"07/12/2024","9,428.0","9,414.0","9,472.0","9,312.0","728.00K","0.62%"
"07/11/2024","9,370.0","9,236.0","9,398.0","8,982.0","882.78K","1.67%"
"07/10/2024","9,216.0","9,326.0","9,326.0","9,178.0","518.31K","-0.19%"
"07/09/2024","9,234.0","9,272.0","9,368.0","9,218.0","695.32K","-0.43%"
"07/08/2024","9,274.0","9,324.0","9,358.0","9,268.0","753.50K","-0.41%"
